Datum	05.11.10	
Uhrzeit	12:48:26	
Probenkennz.	HDPE	
Probenhšhe a0	4	mm
Probenbreite b0	10,1	mm
LŠnge l0	70	mm
Probenhšhe aU NACH dem Versuch	1	mm
Probenbreite bU NACH dem Versuch	4,5	mm
LŠnge lU NACH dem Versuch	99,6	mm
Geschwindigkeit	20	mm/min
Kraftmaximum	1281,42	N
Standardweg	Standardkraft	
mm	N	
4,50002	901,2	
4,51337	902,815	
4,52667	904,43	
4,54002	906,012	
4,55338	907,561	
4,56663	909,208	
4,57994	910,79	
4,59334	912,339	
4,60664	913,954	
4,62004	915,602	
4,63339	917,151	
4,64665	918,766	
4,66005	920,348	
4,67331	921,897	
4,68666	923,413	
4,70086	925,094	
4,72002	927,368	
4,73342	928,884	
4,74667	930,433	
4,75998	931,883	
4,77328	933,267	
4,78663	934,849	
4,80003	936,365	
4,81334	937,848	
4,82669	939,331	
4,83999	940,814	
4,85335	942,264	
4,8666	943,813	
4,88	945,395	
4,89336	946,845	
4,90671	948,328	
4,92006	949,877	
4,93341	951,36	
4,94667	952,81	
4,95997	954,128	
4,97998	956,304	
4,99338	957,754	
5,00678	959,204	
5,02003	960,588	
5,03334	961,972	
5,04664	963,29	
5,05995	964,839	
5,07335	966,223	
5,0867	967,707	
5,10005	969,124	
5,12001	971,134	
5,13331	972,518	
5,14662	973,935	
5,15997	975,32	
5,17332	976,704	
5,18672	978,121	
5,20003	979,439	
5,21333	980,856	
5,22668	982,24	
5,23994	983,658	
5,25334	985,009	
5,26669	986,36	
5,28	987,777	
5,29335	989,128	
5,3067	990,414	
5,32	991,864	
5,33331	993,083	
5,34666	994,303	
5,36001	995,621	
5,37332	996,906	
5,38672	998,224	
5,40002	999,51	
5,41333	1000,83	
5,42663	1002,18	
5,43998	1003,56	
5,45329	1004,91	
5,46664	1006,2	
5,47999	1007,39	
5,49334	1008,61	
5,5133	1010,45	
5,52661	1011,64	
5,54	1012,82	
5,55336	1014,14	
5,56666	1015,43	
5,58001	1016,75	
5,59332	1017,93	
5,60667	1019,09	
5,61993	1020,37	
5,63333	1021,59	
5,64668	1022,84	
5,65998	1024,13	
5,67338	1025,31	
5,68669	1026,53	
5,69999	1027,62	
5,7133	1028,81	
5,72665	1030,03	
5,74	1031,31	
5,75335	1032,47	
5,77336	1034,34	
5,78671	1035,56	
5,79997	1036,72	
5,81327	1037,84	
5,82667	1038,99	
5,84002	1040,15	
5,85337	1041,27	
5,86668	1042,39	
5,88003	1043,57	
5,89329	1044,76	
5,91334	1046,37	
5,92669	1047,56	
5,94004	1048,75	
5,9534	1049,87	
5,9667	1051,02	
5,97996	1052,14	
5,99331	1053,33	
6,00661	1054,35	
6,02001	1055,47	
6,03332	1056,59	
6,04672	1057,78	
6,06002	1058,77	
6,07333	1059,82	
6,08663	1060,84	
6,09998	1062	
6,11334	1063,05	
6,12669	1064,17	
6,14004	1065,29	
6,15334	1066,41	
6,16665	1067,5	
6,17995	1068,55	
6,19326	1069,64	
6,20661	1070,76	
6,22001	1071,82	
6,23336	1072,81	
6,24667	1073,83	
6,26002	1074,88	
6,27332	1075,94	
6,28663	1077,02	
6,29998	1078,08	
6,31998	1079,53	
6,33338	1080,55	
6,34664	1081,67	
6,36004	1082,76	
6,3733	1083,81	
6,38665	1084,9	
6,40005	1085,92	
6,41331	1086,91	
6,42751	1088	
6,44001	1088,99	
6,45332	1089,98	
6,46662	1090,87	
6,47997	1091,82	
6,49332	1092,84	
6,50668	1093,83	
6,52003	1094,89	
6,53338	1095,94	
6,54668	1096,86	
6,55994	1097,82	
6,57325	1098,81	
6,59335	1100,32	
6,60674	1101,28	
6,62005	1102,2	
6,63331	1103,13	
6,64666	1104,08	
6,65996	1105,07	
6,67332	1106,12	
6,68667	1107,05	
6,69997	1108	
6,71337	1108,96	
6,72668	1109,88	
6,73998	1110,87	
6,75329	1111,79	
6,76664	1112,75	
6,77999	1113,74	
6,79339	1114,66	
6,80669	1115,58	
6,82	1116,51	
6,83335	1117,36	
6,84661	1118,22	
6,86666	1119,54	
6,88001	1120,39	
6,89336	1121,28	
6,90671	1122,24	
6,91997	1123,29	
6,93328	1124,18	
6,94663	1125,17	
6,95998	1126,13	
6,97333	1126,95	
6,98753	1127,94	
7,00669	1129,19	
7,01999	1129,95	
7,0333	1130,71	
7,0466	1131,57	
7,06	1132,49	
7,07335	1133,35	
7,08671	1134,24	
7,09996	1135,13	
7,11332	1135,98	
7,12667	1136,81	
7,14663	1138,13	
7,16002	1139,02	
7,17338	1139,87	
7,18673	1140,63	
7,20003	1141,39	
7,21329	1142,21	
7,22664	1143,2	
7,24004	1143,99	
7,25335	1144,85	
7,26755	1145,74	
7,2867	1146,92	
7,30001	1147,85	
7,31326	1148,61	
7,32662	1149,33	
7,34002	1150,19	
7,35337	1151,04	
7,36672	1151,77	
7,38002	1152,53	
7,39338	1153,29	
7,40663	1154,08	
7,42669	1155,26	
7,43999	1156,05	
7,45334	1156,84	
7,46665	1157,57	
7,48	1158,39	
7,49335	1159,15	
7,50661	1159,94	
7,52005	1160,67	
7,53336	1161,39	
7,54671	1162,08	
7,56667	1163,24	
7,57997	1164,03	
7,59333	1164,79	
7,60668	1165,48	
7,61998	1166,24	
7,63338	1167,03	
7,64669	1167,69	
7,66009	1168,41	
7,67334	1169,1	
7,68665	1169,86	
7,7067	1171,02	
7,72	1171,81	
7,73331	1172,5	
7,74661	1173,13	
7,76006	1173,82	
7,77332	1174,51	
7,78667	1175,2	
7,79997	1175,96	
7,81333	1176,68	
7,82673	1177,41	
7,84003	1178,04	
7,85338	1178,7	
7,86664	1179,35	
7,87994	1180,01	
7,89334	1180,77	
7,90665	1181,4	
7,92005	1182,16	
7,93335	1182,81	
7,9467	1183,51	
7,96001	1184,23	
7,97331	1184,76	
7,98662	1185,48	
7,99997	1186,08	
8,01332	1186,74	
8,02667	1187,4	
8,04003	1188,02	
8,05338	1188,75	
8,06748	1189,47	
8,08664	1190,36	
8,09999	1191,05	
8,1133	1191,68	
8,12674	1192,31	
8,14	1192,87	
8,15331	1193,53	
8,16661	1194,15	
8,18001	1194,74	
8,19336	1195,37	
8,20667	1195,9	
8,22002	1196,46	
8,23332	1196,99	
8,24667	1197,68	
8,25993	1198,3	
8,27328	1198,96	
8,28664	1199,52	
8,29999	1200,15	
8,31334	1200,68	
8,32669	1201,3	
8,34004	1201,9	
8,35335	1202,46	
8,3667	1202,95	
8,38	1203,54	
8,39336	1204,1	
8,40676	1204,7	
8,42001	1205,23	
8,43336	1205,82	
8,44662	1206,35	
8,46663	1207,17	
8,47998	1207,73	
8,49338	1208,29	
8,50668	1208,82	
8,52003	1209,34	
8,53329	1209,81	
8,5466	1210,3	
8,56	1210,86	
8,5742	1211,49	
8,59335	1212,31	
8,6067	1212,84	
8,62001	1213,3	
8,63331	1213,83	
8,64667	1214,32	
8,65997	1214,95	
8,67337	1215,38	
8,68672	1215,9	
8,70003	1216,4	
8,71333	1216,76	
8,72664	1217,12	
8,73999	1217,58	
8,75329	1218,11	
8,76669	1218,64	
8,78004	1219,17	
8,79335	1219,76	
8,80665	1220,19	
8,81996	1220,62	
8,83326	1221,14	
8,84666	1221,67	
8,86667	1222,3	
8,88002	1222,63	
8,89337	1223,05	
8,90668	1223,61	
8,91993	1224,01	
8,93328	1224,37	
8,94664	1224,8	
8,95999	1225,3	
8,97339	1225,76	
8,99334	1226,42	
9,00665	1226,91	
9,02	1227,27	
9,03331	1227,67	
9,04666	1228,13	
9,06006	1228,53	
9,07336	1228,99	
9,08667	1229,42	
9,09997	1229,81	
9,11328	1230,27	
9,13333	1230,83	
9,14668	1231,23	
9,16003	1231,59	
9,17334	1231,99	
9,18664	1232,41	
9,19995	1232,81	
9,2133	1233,17	
9,22665	1233,63	
9,24	1234,1	
9,25335	1234,49	
9,26666	1234,79	
9,28001	1235,08	
9,29331	1235,41	
9,30662	1235,78	
9,31997	1236,14	
9,33332	1236,47	
9,34668	1236,93	
9,36003	1237,29	
9,37333	1237,62	
9,38664	1237,95	
9,39999	1238,35	
9,41334	1238,74	
9,42669	1239,07	
9,44005	1239,4	
9,45335	1239,83	
9,46661	1240,19	
9,47996	1240,49	
9,49331	1240,79	
9,50666	1241,02	
9,52001	1241,41	
9,53337	1241,74	
9,54667	1242,07	
9,56002	1242,43	
9,57328	1242,76	
9,58663	1243,13	
9,59994	1243,42	
9,61334	1243,72	
9,62664	1244,08	
9,64004	1244,38	
9,65335	1244,64	
9,6733	1245,1	
9,68661	1245,4	
9,70001	1245,7	
9,71331	1245,93	
9,72666	1246,26	
9,74002	1246,59	
9,75332	1246,88	
9,76667	1247,18	
9,77998	1247,48	
9,79333	1247,84	
9,80673	1248,07	
9,82003	1248,37	
9,83338	1248,56	
9,84664	1248,86	
9,85995	1249,09	
9,8733	1249,35	
9,88665	1249,58	
9,89996	1249,88	
9,9134	1250,24	
9,92666	1250,57	
9,94001	1250,87	
9,95332	1251,2	
9,96662	1251,5	
9,97997	1251,73	
9,99333	1251,99	
10,0068	1252,22	
10,02	1252,42	
10,0333	1252,62	
10,0466	1252,91	
10,0599	1253,11	
10,08	1253,51	
10,0933	1253,84	
10,1067	1254,17	
10,12	1254,5	
10,1334	1254,69	
10,1467	1254,92	
10,16	1255,12	
10,1733	1255,39	
10,1866	1255,62	
10,2	1255,81	
10,2133	1256,01	
10,2267	1256,18	
10,2399	1256,44	
10,2533	1256,7	
10,2667	1257	
10,28	1257,3	
10,2934	1257,46	
10,3067	1257,66	
10,32	1257,89	
10,3333	1258,09	
10,3534	1258,35	
10,3667	1258,52	
10,3801	1258,81	
10,3933	1258,98	
10,4067	1259,21	
10,42	1259,34	
10,4333	1259,64	
10,4466	1259,9	
10,46	1260,16	
10,4734	1260,36	
10,4933	1260,69	
10,5067	1260,95	
10,5199	1261,15	
10,5333	1261,32	
10,5467	1261,45	
10,56	1261,65	
10,5734	1261,88	
10,5867	1262,08	
10,6009	1262,27	
10,6199	1262,57	
10,6333	1262,77	
10,6467	1262,93	
10,66	1263,16	
10,6734	1263,36	
10,6866	1263,46	
10,7	1263,62	
10,7133	1263,76	
10,7266	1264,02	
10,74	1264,15	
10,76	1264,48	
10,7734	1264,68	
10,7867	1264,78	
10,8	1264,88	
10,8133	1265,07	
10,8267	1265,27	
10,84	1265,44	
10,8534	1265,57	
10,8667	1265,8	
10,88	1265,87	
10,8933	1266,06	
10,9066	1266,23	
10,92	1266,36	
10,9333	1266,52	
10,9467	1266,72	
10,96	1266,89	
10,9733	1267,02	
10,9866	1267,15	
11	1267,25	
11,0134	1267,32	
11,0334	1267,58	
11,0467	1267,71	
11,06	1267,88	
11,0734	1268,07	
11,0866	1268,27	
11,0999	1268,37	
11,1133	1268,53	
11,1267	1268,77	
11,14	1268,86	
11,1533	1269,03	
11,1666	1269,16	
11,18	1269,23	
11,1933	1269,36	
11,2067	1269,49	
11,22	1269,66	
11,2334	1269,85	
11,2467	1269,95	
11,26	1270,12	
11,2733	1270,25	
11,2867	1270,41	
11,3067	1270,71	
11,32	1270,78	
11,3334	1270,87	
11,3467	1270,97	
11,36	1271,04	
11,3733	1271,14	
11,3866	1271,24	
11,4	1271,34	
11,4133	1271,57	
11,4334	1271,73	
11,4467	1271,86	
11,46	1272,03	
11,4733	1272,19	
11,4867	1272,32	
11,5	1272,46	
11,5134	1272,52	
11,5267	1272,62	
11,54	1272,72	
11,5541	1272,85	
11,5733	1272,98	
11,5867	1273,08	
11,6	1273,15	
11,6134	1273,25	
11,6267	1273,35	
11,64	1273,45	
11,6533	1273,64	
11,6667	1273,71	
11,68	1273,84	
11,6942	1273,84	
11,7134	1273,97	
11,7267	1274,1	
11,74	1274,17	
11,7533	1274,2	
