Probenkennz.	ALMg3	
Datum	21.11.13	
Geschwindigkeit	20	mm/min
Kraftmaximum	2590,2	N
Probenhoehe a0	0,99	mm
Probenbreite b0	13,01	mm
Laege l0	70	mm
Probenhe aU NACH ZUGVERSUCH	0,78	mm
Probenbreite bU NACH ZUGVERSUCH	11,41	mm
Laege lU NACH ZUGVERSUCH	79,1	mm
Standardweg	Standardkraft	
mm	N	
1,570583	2225,152	
1,57916486	2218,192	
1,58832296	2219,856	
1,59744676	2228,32	
1,60657742	2235,968	
1,61570122	2236,256	
1,62489362	2238,128	
1,63405172	2243,952	
1,64318238	2243,4	
1,65234048	2236,864	
1,66204738	2231,744	
1,67062924	2232,72	
1,67975304	2235,752	
1,68891114	2236,752	
1,6980761	2241,976	
1,7071999	2239,944	
1,716358	2242,216	
1,7255504	2246,112	
1,73464676	2248,304	
1,74377056	2253,576	
1,75293552	2261,088	
1,76209362	2266,416	
1,77581362	2257,72	
1,78497172	2251,68	
1,79410238	2253,312	
1,80322618	2254,688	
1,81235684	2255,816	
1,82151494	2256,792	
1,83070734	2257,792	
1,83986544	2258,848	
1,8489961	2260,04	
1,858703	2261,088	
1,86721626	2261,752	
1,87640866	2261,912	
1,88560106	2261,648	
1,89472486	2262,624	
1,90385552	2264,496	
1,91304792	2266,128	
1,92217172	2267,288	
1,93129552	2268,552	
1,94042618	2269,216	
1,95013308	2269,768	
1,95871494	2270,296	
1,96790734	2271,112	
1,97706544	2272,064	
1,98618924	2273,296	
1,9953199	2274,272	
2,0044437	2274,832	
2,0136018	2275,592	
2,02276676	2276,592	
2,0319523	2277,968	
2,04163176	2279,232	
2,05480296	2278,888	
2,06389932	2279,024	
2,07302998	2281,656	
2,08222238	2283,928	
2,09138048	2286,192	
2,10053858	2288,8	
2,10966238	2291,864	
2,11879304	2294,08	
2,12795114	2295,632	
2,13710924	2296,208	
2,1508361	2297,184	
2,1599942	2298,848	
2,1691523	2300,408	
2,17828296	2301,616	
2,18740676	2302,616	
2,19653742	2304,176	
2,20569552	2305,016	
2,21481932	2305,256	
2,22397742	2307,024	
2,23773858	2302,064	
2,24686238	2307,576	
2,25595874	2325,56	
2,26511684	2330,28	
2,27430924	2334,84	
2,28346734	2335,944	
2,29259114	2338,528	
2,3023392	2336,392	
2,3154418	2336,16	
2,32460676	2340,248	
2,33376486	2335,792	
2,34292296	2327,216	
2,35204676	2332,944	
2,36121172	2334,256	
2,37033552	2326,848	
2,37949362	2326,688	
2,38862428	2326,296	
2,39833118	2329,04	
2,40690618	2333,072	
2,41607114	2332,28	
2,42526354	2327,56	
2,43438734	2325,872	
2,44354544	2331,016	
2,4526418	2338,136	
2,4617999	2341,032	
2,470958	2341,144	
2,48012296	2343,064	
2,48928106	2344,856	
2,49840486	2337,264	
2,51209742	2331,28	
2,52122122	2335,496	
2,53041362	2347,36	
2,53957858	2355,192	
2,54873668	2361,624	
2,55789478	2369,376	
2,56701858	2372,544	
2,57614924	2357,2	
2,58527304	2346,496	
2,594438	2350,08	
2,6081923	2352,16	
2,6173161	2352,952	
2,62644676	2353,928	
2,63560486	2354,88	
2,64472866	2355,696	
2,65385932	2356,224	
2,66301742	2356,832	
2,67217552	2357,328	
2,68191672	2358,384	
2,69052602	2359,096	
2,69965668	2359,544	
2,70875304	2360,048	
2,71787684	2360,464	
2,72703494	2360,152	
2,73619304	2360,128	
2,745358	2360,496	
2,7545504	2361,52	
2,7636399	2362,208	
2,77277056	2363,184	
2,78189436	2364,104	
2,79564866	2365,48	
2,80481362	2366,056	
2,81397172	2366,4	
2,82312982	2366,664	
2,83225362	2367,088	
2,84138428	2367,32	
2,85050808	2367,56	
2,85967304	2367,616	
2,86883114	2368,272	
2,88258544	2369,144	
2,89170924	2369,904	
2,9008399	2370,776	
2,90993626	2371,856	
2,91912866	2372,992	
2,92828676	2373,416	
2,93744486	2372,52	
2,94660296	2373,28	
2,95573362	2376,76	
2,96941932	2380,032	
2,97854998	2381,216	
2,98774238	2381,664	
2,99690048	2383,536	
3,00602428	2385,488	
3,01518924	2387,048	
3,02431304	2388,336	
3,0334437	2389,472	
3,0426018	2390,128	
3,0517599	2390,16	
3,0655142	2391,128	
3,0746723	2393,08	
3,08380296	2394,848	
3,09292676	2396,144	
3,10205742	2397,04	
3,11121552	2397,984	
3,12037362	2398,464	
3,12950428	2398,912	
3,13866238	2398,856	
3,15238238	2398,04	
3,16151304	2397,936	
3,17067114	2402,024	
3,17982924	2410,752	
3,18898734	2414,416	
3,198118	2416,944	
3,2072761	2420,08	
3,2163999	2420,344	
3,22556486	2421,376	
3,23468866	2417,104	
3,24841552	2410,696	
3,25757362	2414,176	
3,26673172	2423,536	
3,27585552	2424,8	
3,28502048	2423,088	
3,29414428	2424,592	
3,30326808	2429,576	
3,31243304	2432,472	
3,32217424	2432,184	
3,33078354	2430,52	
3,33990734	2429,312	
3,349038	2429,736	
3,3581618	2424,064	
3,3673199	2423,144	
3,37645056	2421,456	
3,38564296	2426,224	
3,39480106	2423,744	
3,40392486	2427,488	
3,41305552	2434,768	
3,42677552	2438,88	
3,43594048	2427,728	
3,44509858	2420,848	
3,45422238	2431,68	
3,46341478	2432,84	
3,47251114	2428,096	
3,48166924	2416,176	
3,4907999	2416,472	
3,499958	2417,84	
3,5091161	2420,896	
3,5228361	2444,6	
3,53200106	2448,664	
3,54112486	2447,08	
3,55022122	2450,216	
3,55937932	2445,128	
3,56857172	2441,992	
3,57769552	2440,672	
3,58686048	2439,616	
3,59601858	2441,232	
3,60971114	2442,68	
3,61883494	2443,496	
3,62799304	2443,256	
3,63718544	2443,024	
3,6463161	2443,968	
3,6554399	2446,584	
3,664598	2448,376	
3,6737561	2446,976	
3,68346986	2447,368	
3,69201056	2449,904	
3,70117552	2454,256	
3,71033362	2451,008	
3,71952602	2453,36	
3,72864982	2454,336	
3,73778048	2453,544	
3,74690428	2455,416	
3,75600064	2453,176	
3,76519304	2449,88	
3,77438544	2448,608	
3,78810544	2447,872	
3,7972361	2447,816	
3,8063599	2448,344	
3,81549056	2448,64	
3,82464866	2448,4	
3,83380676	2447,952	
3,84299916	2448,08	
3,85212296	2448,008	
3,86125362	2446,656	
3,87497362	2444,368	
3,88406998	2444,392	
3,89322808	2444,736	
3,90242048	2444,336	
3,91157858	2443,232	
3,92070924	2441,28	
3,92983304	2440,28	
3,9389637	2440,096	
3,9487049	2439,936	
3,9572799	2439,856	
3,9664723	2440,04	
3,97560296	2440,2	
3,98476106	2438,72	
3,99391916	2437,248	
4,00301552	2436,352	
4,01213932	2436,032	
4,02126998	2439,616	
4,03046238	2441,232	
4,03962048	2445,232	
4,04932738	2449,504	
4,05790238	2453,408	
4,06703304	2454,856	
4,07619114	2455,52	
4,08534924	2461,4	
4,09450734	2466,832	
4,103638	2466,568	
4,1127961	2463,848	
4,12192676	2471,968	
4,13108486	2475,136	
4,14018122	2477,904	
4,15396296	2480,992	
4,16309362	2483,76	
4,17221742	2484,576	
4,18138238	2483,864	
4,19054048	2486,16	
4,19966428	2488,264	
4,20879494	2486,68	
4,21795304	2489,344	
4,22711114	2491,112	
4,240838	2492,168	
4,2499961	2491,168	
4,2591199	2491,168	
4,26825056	2491,776	
4,27744296	2491,64	
4,28656676	2494,808	
4,29572486	2482,648	
4,30488296	2469,912	
4,31463102	2461,32	
4,32317172	2459,184	
4,33226808	2460,528	
4,34142618	2462,192	
4,35058428	2463,432	
4,35974238	2464,248	
4,36893478	2465,376	
4,37799684	2466,248	
4,3871618	2466,488	
4,3962856	2466,352	
4,4060611	2466,88	
4,4146018	2468,016	
4,4237942	2469,048	
4,43292486	2469,096	
