Probenkennz.	Baustahl	
Datum	02.08.13	
Geschwindigkeit	20	mm/min
Kraftmaximum	4251,6396	N
Probenhoehe a0	1	mm
Probenbreite b0	12,96	mm
Laenge l0	70	mm
Probenhoehe a0 NACH ZUGVERSUCH	0,8	mm
Probenbreite b0 NACH ZUGVERSUCH	8,84	mm
Laenge l0 NACH ZUGVERSUCH	85,84	mm
Standardweg	Standardkraft	
mm	N	
2,108582	3374,34984	
2,117927	3378,02184	
2,127244	3381,52248	
2,137212	3384,87624	
2,145969	3387,9852	
2,155314	3391,0452	
2,164624	3393,90936	
2,173941	3396,82248	
2,183286	3400,07832	
2,192631	3403,4688	
2,201948	3406,85928	
2,211328	3410,49456	
2,220673	3414,00744	
2,229983	3417,31224	
2,243955	3422,23272	
2,2533	3425,41512	
2,262617	3428,32824	
2,271962	3430,8252	
2,281272	3433,44456	
2,290652	3436,18632	
2,299969	3438,97704	
2,309279	3442,00032	
2,319191	3445,62336	
2,327976	3448,78128	
2,337321	3452,0004	
2,346666	3455,26848	
2,355948	3458,41416	
2,365293	3461,32728	
2,374603	3464,35056	
2,383955	3467,45952	
2,3933	3470,4828	
2,402645	3472,97976	
2,41199	3475,52568	
2,421307	3478,18176	
2,430617	3481,0092	
2,439962	3484,39968	
2,449279	3488,14512	
2,458624	3491,62128	
2,467969	3494,76696	
2,477349	3497,54544	
2,487226	3500,49528	
2,495941	3503,11464	
2,505293	3505,69728	
2,514568	3508,47576	
2,523948	3511,1808	
2,533293	3513,80016	
2,542645	3516,46848	
2,551955	3519,49176	
2,5613	3522,51504	
2,570617	3525,46488	
2,580557	3528,57384	
2,589307	3531,3156	
2,598624	3534,17976	
2,607969	3536,8848	
2,617349	3539,50416	
2,626631	3542,03784	
2,635941	3544,54704	
2,645251	3547,20312	
2,654568	3550,03056	
2,663983	3552,7356	
2,673328	3555,44064	
2,687328	3559,51656	
2,696645	3562,13592	
2,705955	3564,63288	
2,7153	3567,25224	
2,724617	3569,83488	
2,733962	3572,2584	
2,743307	3574,75536	
2,752624	3577,42368	
2,761969	3580,00632	
2,775941	3583,83744	
2,785286	3586,66488	
2,794631	3589,56576	
2,803976	3592,11168	
2,813321	3594,44952	
2,822638	3596,82408	
2,831948	3599,37	
2,841265	3601,83024	
2,851205	3604,37616	
2,859955	3606,78744	
2,869335	3609,21096	
2,878652	3611,38968	
2,887962	3613,446	
2,897279	3615,99192	
2,906589	3618,7704	
2,915934	3621,47544	
2,925279	3624,05808	
2,934631	3626,43264	
2,944571	3628,78272	
2,953321	3630,71664	
2,962631	3633,05448	
2,971913	3635,39232	
2,981293	3637,57104	
2,990638	3639,74976	
2,999983	3642,05088	
3,0093	3644,352	
3,018645	3646,76328	
3,027962	3649,39488	
3,037832	3652,29576	
3,046617	3654,59688	
3,055962	3657,09384	
3,065279	3659,39496	
3,074624	3661,37784	
3,084004	3663,06696	
3,093321	3664,92744	
3,102596	3667,02048	
3,111941	3669,3216	
3,121293	3671,85528	
3,131233	3674,71944	
3,139983	3677,10624	
3,1493	3679,44408	
3,158645	3681,70848	
3,167927	3684,04632	
3,1773	3686,22504	
3,186617	3688,24464	
3,195927	3690,252	
3,205307	3692,1492	
3,214624	3694,00968	
3,224564	3696,15168	
3,233251	3698,208	
3,242596	3700,74168	
3,251941	3703,12848	
3,261286	3705,58872	
3,270666	3707,96328	
3,279983	3710,142	
3,289328	3712,12488	
3,29861	3714,34032	
3,30792	3716,51904	
3,317895	3718,57536	
3,326645	3720,26448	
3,33599	3722,00256	
3,345307	3723,70392	
3,354652	3725,47872	
3,363969	3727,65744	
3,373279	3730,1544	
3,382624	3732,61464	
3,391969	3734,87904	
3,401321	3736,97208	
3,410631	3738,86928	
3,424638	3741,73344	
3,433948	3743,8632	
3,443293	3745,84608	
3,452638	3747,62088	
3,461955	3749,39568	
3,4713	3751,17048	
3,480645	3753,06768	
3,489962	3755,16072	
3,499272	3757,49856	
3,508617	3759,64056	
3,522624	3762,468	
3,531969	3764,52432	
3,541314	3766,45824	
3,550659	3768,31872	
3,559941	3770,09352	
3,569258	3771,90504	
3,578603	3773,67984	
3,587948	3775,29552	
3,597923	3777,10704	
3,606638	3779,12664	
3,61599	3781,06056	
3,625265	3783,11688	
3,634617	3785,22216	
3,643962	3787,15608	
3,653307	3789,01656	
3,662617	3790,66896	
3,671969	3792,2724	
3,681279	3793,88808	
3,690624	3795,54048	
3,704631	3798,36792	
3,713941	3800,30184	
3,723356	3802,03992	
3,732638	3803,97384	
3,741983	3805,83432	
3,751293	3807,3276	
